"1","000001","W（HD）","1","system","20100514193826","1","20170409","system","20170407221753"
"10","000011","GCOO（その他）3極","1","system","20100514193826","1","20120901","system","20120831220418"
"100","000114","【廃止】ﾐﾄﾞﾙｸﾞﾙｰﾌﾟ","1","system","20100514193826","1","20120901","system","20120831220418"
"1000","003345","【廃止】ｽﾄｱ差額調整（ｼｭｰﾗﾙｰ）","1","system","20100514193826","1","20130830","system","20130829220317"
"1001","003350","PINK ADOBE","72","system","20100514193826","1","20170407","system","20170406125755"
"1002","003355","ｲﾃﾞｱﾃﾞｨｰﾙ","1","system","20100514193826","1","20120901","system","20120831220418"
"1003","003360","【廃止】BE AN ANGEL","1","system","20100514193826","1","20140618","system","20140616220729"
"1004","003365","【廃止】ﾄﾗｳﾞｧｰｽ","1","system","20100514193826","1","20130830","system","20130829220317"
"1005","003370","【廃止】WRS仕入","1","system","20100514193826","1","20130830","system","20130829220317"
"1006","003375","【廃止】SPARCS推進本部PR投資","1","system","20100514193826","1","20130830","system","20130829220317"
"1007","003380","ｱﾙﾌﾞﾑ","1","system","20100514193826","1","20120901","system","20120831220418"
"1008","003385","ﾀﾞｲﾚｸﾄｽﾀｲﾙ調整","1","system","20100514193826","1","20120901","system","20120831220418"
"1009","003395","【廃止】第3開発部","1","system","20100514193826","1","20130830","system","20130829220317"
"101","000115","BCOM統括部店舗運営","1","system","20100514193826","1","20120901","system","20120831220418"
"1010","003400","【廃止】UTｼﾞｭｴﾙｽﾀｯﾌ","1","system","20100514193826","1","20130830","system","20130829220317"
"1011","003405","【廃止】USED-PJT","1","system","20100514193826","1","20130830","system","20130829220317"
"1012","003430","【廃止】ﾆｭｰﾌﾟﾚﾀPJT","1","system","20100514193826","1","20130830","system","20130829220317"
"1013","003440","【廃止】ﾌｧｳﾝﾄﾞﾌﾚｽ","1","system","20100514193826","1","20130830","system","20130829220317"
"1014","003450","【廃止】ﾙﾋﾞｰﾘﾍﾞｯﾄ","81","system","20100514193826","1","20180124","system","20180122221500"
"1015","003500","【廃止】ﾒﾝｽﾞ生産推進部","1","system","20100514193826","1","20130830","system","20130829220317"
"1016","003505","【廃止】開発技術推進部","1","system","20100514193826","1","20120901","system","20120831220418"
"1017","003510","【廃止】ﾆｯﾄ生産技術室","1","system","20100514193826","1","20130830","system","20130829220317"
"1018","003515","【廃止】原料部","1","system","20100514193826","1","20120901","system","20120831220418"
"1019","003520","【廃止】原料生産技術室","1","system","20100514193826","1","20130830","system","20130829220317"
"102","000116","【廃止】MDﾃﾞｨﾚｸｼｮﾝ部","1","system","20100514193826","1","20120901","system","20120831220418"
