"1","4","","19870101","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","d"
"2","96","","19870101","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","d"
"3","560","","19890901","99999999","","2","販売委託契約書_歩合の10%は、債務弁済に当てる。","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"4","605","","19870101","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","d"
"5","735","","19880501","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","d"
"6","739","K250-9508004","19950908","99999999","","2","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"7","832","","19870101","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","d"
"8","915","","19891201","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","d"
"9","1268","","19891201","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"10","1271","","19890301","99999999","","2","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"11","1560","K288-9602001","19960209","19970831","","1","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"12","1560","K288-9706005","19970901","19980228","","3","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"13","1560","K288-9803001","19980301","99999999","","3","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"14","1597","","19840218","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"15","1690","","19940401","99999999","","","ﾃﾞ-ﾀﾅｼ_出店","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"16","1804","","19931001","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"17","1818","K253-9509008","19950909","19990331","","1","新規","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"18","1818","K253-9509008","19990401","99999999","31","4","販売代行先名がワールドファッションリンクに変更"," ","","",""," "," ","2010-05-14 19:47:09","system  ","2013-01-22 10:42:23","13001861","c"
"19","1936","","19910301","19920229","","1","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"20","1936","K221-9203302","19920301","99999999","","1","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"21","1963","","19920401","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","d"
"22","1993","","19940401","99999999","","1","NGより移管","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"23","1995","K282-8907021","19890801","19990331","","4","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"24","1995","","19990401","99999999","","","販売代行先名がワールドファッションリンクに変更","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"25","1999","K956700-0410003","19940401","19990331","31","1","NGより移管"," ","","",""," "," ","2010-05-14 19:47:09","system  ","2012-06-07 11:47:07","13001861","c"
"26","1999","K956700-0410003","19990401","99999999","31","4","NGより移管_販売代行先名がワールドファッションリンクに変更"," ","","",""," "," ","2010-05-14 19:47:09","system  ","2012-06-07 11:47:48","13001861","c"
"27","2002","K253-9509009","19950826","99999999","","1","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"28","2004","","19940401","99999999","","","","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
"29","2006","","19940401","19990331","","1","NGより移管","","","","","","","2010-05-14 19:47:09","system  ","2010-05-14 19:47:09","system  ","a"
